timestamp;session_duration;calm_probability;calm_percentage;focus_probability;focus_percentage;attention_probability;attention_percentage;delta_avg;delta_max;delta_min;delta_std;delta_raw;theta_avg;theta_max;theta_min;theta_std;theta_raw;alpha_avg;alpha_max;alpha_min;alpha_std;alpha_raw;beta_avg;beta_max;beta_min;beta_std;beta_raw;gamma_avg;gamma_max;gamma_min;gamma_std;gamma_raw;device_id
2025-06-13T14:13:17.070657;0.017654;;;;;;;0.131191;0.158464;0.10111;0.023499;[0.10111026084168137, 0.15846433279376848, 0.1339978750163221];0.209462;0.231768;0.184256;0.019505;[0.18425579516500673, 0.2317675566915073, 0.21236235321266317];0.431154;0.458341;0.411785;0.019794;[0.4117853987117878, 0.45834078255395383, 0.4233358768109436];0.314817;0.346621;0.281876;0.026444;[0.28187633756746033, 0.34662099567050897, 0.31595220775047456];0.102465;0.121174;0.09248;0.013239;[0.0937408005006345, 0.12117403813214009, 0.09248022527096639];
2025-06-13T14:13:17.122109;0.069106;;;;;;;0.115068;0.152257;0.08441;0.028081;[0.08441002718950198, 0.1522567042955238, 0.10853729888859255];0.215161;0.249572;0.180986;0.028001;[0.18098578816541477, 0.2495724957106111, 0.21492609073197821];0.413635;0.431392;0.382113;0.022349;[0.3821127754430661, 0.4313917977708218, 0.4274008381710094];0.322412;0.354594;0.300379;0.023268;[0.30037893242611546, 0.3545939474575208, 0.3122625832273897];0.105441;0.122165;0.094058;0.01208;[0.09405803344836865, 0.10009977559438257, 0.12216522204611864];
2025-06-13T14:13:17.173167;0.120164;;;;;;;0.122277;0.13376;0.101675;0.014599;[0.10167538240887376, 0.1337604081372255, 0.131394878114626];0.220396;0.256373;0.195992;0.025973;[0.19599199530891587, 0.2563727283863584, 0.20882338231699474];0.427279;0.454971;0.396498;0.023971;[0.39649804261029054, 0.45497074471515064, 0.4303677963720095];0.330622;0.353418;0.311311;0.017366;[0.3113112020857464, 0.35341758454768224, 0.3271377380405751];0.108582;0.126084;0.09299;0.013578;[0.10667188745858713, 0.12608423418059192, 0.09299029682304381];
2025-06-13T14:13:17.325625;0.272622;0.5790957766834752;57.909577668347524;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2025-06-13T14:13:17.376853;0.32385;;;0.3376181512447332;33.76181512447332;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2025-06-13T14:13:17.377486;0.324483;;;;;;;0.133133;0.155946;0.109743;0.018867;[0.10974252547640259, 0.15594627352743295, 0.13370972306371876];0.222467;0.240649;0.200032;0.016852;[0.20003223018682859, 0.2406486538476324, 0.22672122055324836];0.433846;0.446319;0.415418;0.013299;[0.4154180169243609, 0.4463188441084106, 0.4398014235023869];0.332085;0.361997;0.294971;0.027833;[0.2949712898864674, 0.3619971645802872, 0.33928628990181176];0.110691;0.133856;0.090255;0.017905;[0.09025506609621907, 0.13385630979350682, 0.10796070544609314];
2025-06-13T14:13:17.478773;0.42577;;;;;;;0.122099;0.165767;0.082902;0.033977;[0.08290217717267298, 0.16576707524591625, 0.1176288269476015];0.217797;0.234001;0.208488;0.0115;[0.2109017580241211, 0.23400070113545682, 0.20848776543836867];0.416978;0.435425;0.401799;0.013921;[0.4017994082097529, 0.43542545459982035, 0.4137076850666886];0.313439;0.332065;0.302177;0.013266;[0.30217661116127464, 0.33206512837778573, 0.30607613942401474];0.106227;0.12041;0.084411;0.015656;[0.08441066518738483, 0.12041001851468133, 0.11385900284964662];
2025-06-13T14:13:17.479541;0.426538;;;;;;;0.122631;0.168086;0.084455;0.034528;[0.08445501131849535, 0.16808597530451974, 0.11535060920775332];0.224132;0.234542;0.210495;0.010079;[0.2104945322960119, 0.23454155058253623, 0.22736113408988667];0.429372;0.466603;0.386704;0.032844;[0.3867042737639819, 0.4666027855141366, 0.434808520543225];0.325531;0.338924;0.304321;0.015169;[0.3043213817898699, 0.3389235857993635, 0.3333475102265473];0.117804;0.120487;0.114798;0.002334;[0.11479822634053753, 0.1181280409479433, 0.12048679363182216];
2025-06-13T14:13:17.530724;0.477721;;;;;;;0.12431;0.138119;0.104153;0.014575;[0.10415310306512385, 0.13811914781807932, 0.13065782156469688];0.219904;0.231913;0.196758;0.016371;[0.19675807303140638, 0.23191290164100878, 0.2310416968011581];0.422888;0.464097;0.399534;0.029225;[0.39953390065657884, 0.4640972398529667, 0.4050339899082895];0.320092;0.343212;0.305865;0.016493;[0.3058645462432882, 0.34321217491920436, 0.31119937449761165];0.105988;0.114306;0.101533;0.005887;[0.11430599179723276, 0.10153325828019422, 0.10212482193213641];
2025-06-13T14:13:17.633696;0.580693;;;;;;;0.124865;0.137849;0.099165;0.018173;[0.0991646616345672, 0.13758223975388362, 0.13784919251751193];0.22167;0.26838;0.184502;0.034902;[0.18450241402227924, 0.2683801951006359, 0.2121264808639096];0.424064;0.457117;0.393305;0.026102;[0.3933048330993364, 0.45711741550178814, 0.4217687526434772];0.326112;0.359171;0.288661;0.028952;[0.28866146724941627, 0.35917061439715625, 0.33050319395278727];0.119633;0.128203;0.111417;0.006857;[0.11927760289074119, 0.12820314102097402, 0.11141716450043343];
