timestamp;session_duration;calm_probability;calm_percentage;focus_probability;focus_percentage;attention_probability;attention_percentage;delta_avg;delta_max;delta_min;delta_std;delta_raw;theta_avg;theta_max;theta_min;theta_std;theta_raw;alpha_avg;alpha_max;alpha_min;alpha_std;alpha_raw;beta_avg;beta_max;beta_min;beta_std;beta_raw;gamma_avg;gamma_max;gamma_min;gamma_std;gamma_raw
2025-06-13T15:45:01.123189;0.074065;0.8103285445311631;81.03285445311631;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2025-06-13T15:45:01.123871;0.074747;;;0.30525795855955745;30.525795855955746;;;;;;;;;;;;;;;;;;;;;;;;;;;
2025-06-13T15:45:01.176339;0.127215;;;;;;;0.110745;0.135769;0.087446;0.019765;[0.087445931694839, 0.13576852481438761, 0.10902102084191642];0.226815;0.244838;0.215979;0.012831;[0.21962738006339794, 0.24483777886730226, 0.2159794377143684];0.408264;0.434651;0.381665;0.021632;[0.3816654775070091, 0.4346513947419469, 0.40847491050735846];0.330223;0.358273;0.31615;0.019834;[0.3161503330312138, 0.35827264212297966, 0.3162458726105654];0.109755;0.136431;0.085913;0.020721;[0.08591276569439664, 0.13643083265981043, 0.10692053787112482]
2025-06-13T15:45:01.285453;0.236329;;;;;;;0.127706;0.164438;0.080706;0.034946;[0.08070631134457074, 0.16443829808067967, 0.13797206927906097];0.228155;0.255059;0.208039;0.019787;[0.2080388218541778, 0.25505903408199276, 0.2213669380535487];0.429049;0.454347;0.393332;0.025976;[0.3933323402006855, 0.4543469238874374, 0.4394667712748039];0.321215;0.346522;0.281809;0.028238;[0.28180891046921547, 0.34652155069691326, 0.3353159175319324];0.107675;0.123621;0.099594;0.011276;[0.09959423416690605, 0.1236209644999014, 0.0998107430988875]
2025-06-13T15:45:01.387299;0.338175;;;;;;;0.124794;0.159659;0.089871;0.028491;[0.08987065663670915, 0.15965905224443122, 0.12485300981357508];0.229671;0.266789;0.206509;0.026514;[0.21571665838259288, 0.26678857316689353, 0.20650863501447145];0.431956;0.469463;0.404582;0.027439;[0.40458188251105737, 0.469462672798844, 0.4218237381648682];0.320429;0.340412;0.304867;0.014844;[0.3160096590591404, 0.3404115920346094, 0.30486702514256603];0.113509;0.132764;0.08901;0.018243;[0.08900981409754696, 0.1327636880138195, 0.11875440260967518]
2025-06-13T15:45:01.439025;0.389901;;;;;;;0.131162;0.161507;0.10657;0.022794;[0.10657024745848709, 0.16150700693825923, 0.12540838546408112];0.228581;0.269792;0.206127;0.029179;[0.20982506369703696, 0.26979187797384097, 0.20612684176480417];0.414815;0.448239;0.382863;0.02671;[0.3828627476503002, 0.4482388119575192, 0.41334213829872746];0.331904;0.368113;0.299555;0.028121;[0.2995549732591185, 0.3681127115700411, 0.32804452633318254];0.116163;0.120285;0.113022;0.003045;[0.11518093638680159, 0.11302198029687405, 0.12028479703530887]
2025-06-13T15:45:01.439687;0.390563;;;;;;;0.128324;0.168463;0.106977;0.028402;[0.10697653708490452, 0.168463256807947, 0.10953274929937391];0.226271;0.264772;0.197054;0.028415;[0.19705434663200755, 0.26477232691892033, 0.21698494192065954];0.424802;0.439196;0.399858;0.017708;[0.3998578213227923, 0.4391962667622554, 0.43535191824608915];0.319787;0.34182;0.294806;0.019307;[0.2948055628704393, 0.3418201891757779, 0.3227367069914926];0.113128;0.115716;0.108232;0.003464;[0.10823175568380872, 0.1157163469810424, 0.11543652752285546]
2025-06-13T15:45:01.541318;0.492194;;;;;;;0.112209;0.138758;0.081347;0.023636;[0.08134664162980507, 0.13875801366695936, 0.11652266921540769];0.212206;0.236129;0.180323;0.023468;[0.18032324322049906, 0.2361286377979078, 0.22016735522762473];0.418873;0.436815;0.40951;0.012691;[0.4102945578941898, 0.4368145934546209, 0.40951002856890645];0.31503;0.343543;0.297689;0.020319;[0.2976889740559841, 0.34354332671248244, 0.30385660345004784];0.12209;0.139534;0.105925;0.013751;[0.10592542904695651, 0.13953441056144433, 0.12081010155426944]
2025-06-13T15:45:01.594281;0.545157;;;;;;;0.114239;0.132175;0.096412;0.0146;[0.09641182496874154, 0.13217503804977307, 0.11412987085606546];0.220284;0.254275;0.180599;0.030346;[0.18059941126418105, 0.25427472355442904, 0.22597760225486935];0.417833;0.435441;0.400602;0.014225;[0.41745670981915506, 0.4354408568409006, 0.40060191838857756];0.327935;0.361433;0.305213;0.024183;[0.3052133842403292, 0.36143300878907736, 0.31715995079598186];0.101557;0.112975;0.092844;0.008438;[0.09284371065453502, 0.11297536929799477, 0.09885130066748997]
2025-06-13T15:45:01.697389;0.648265;;;;;;;0.113055;0.135862;0.100829;0.016141;[0.10082889844691965, 0.13586220588738657, 0.1024751306408787];0.233028;0.258047;0.203454;0.022519;[0.2034542052504093, 0.2580469660158911, 0.237582933925011];0.411636;0.441018;0.384173;0.023247;[0.38417259823438166, 0.44101774066405547, 0.4097166973200849];0.331036;0.359453;0.294281;0.027252;[0.294281401740161, 0.3594533687511077, 0.33937275808917383];0.116742;0.127518;0.110623;0.007643;[0.11062268047409313, 0.11208629982208229, 0.12751831150816142]
